REF_AREA,TIME_PERIOD,B50,D06,D07,D08,D09,D10,ALL,B50_share,M40_share,T10_share,B50_share_change,M40_share_change,T10_share_change,HP_R_N,Stock_Price,HP_R_Change,STOCK_Change,owner_ALL
BE,2015-10-01,173966.26000000007,120323.9,152930.2,200848.65999999997,289410.54,1307582.36,2245061.92,0.07748840174528464,0.3400856311348419,0.5824259671198735,-0.020625120523491525,-0.005887921701306809,0.006240146547160652,101.3075,3332.9457692307687,-0.005034316874573896,-0.015944460383201076,72.45
BE,2016-01-01,173308.43,119159.51,153381.24,202899.87,291347.72,1316054.49,2256151.26,0.0768159622418224,0.33986566131208773,0.58331837644609,-0.008715810012406067,-6.470164344754004e-4,0.0015310552531845323,99.8489,2973.939112903226,-0.014502402749982046,-0.11396915363973115,72.45
BE,2016-04-01,172942.74,121009.74,155587.96000000002,205199.62,294303.32000000007,1326809.49,2275852.87,0.0759902989686675,0.34101529594925006,0.5829944050820824,-0.010806773258046132,0.0033769066894580035,-5.555480098835552e-4,99.8454,2974.3690153846155,-3.5053579399146884e-5,1.4454613744518952e-4,72.45
BE,2016-07-01,176659.12,122949.16000000005,159174.37,210475.63,300978.63,1346771.9,2317008.81,0.07624447487534586,0.34250098082277036,0.5812545443018837,0.003339265221035337,0.004347188980629468,-0.0029888145079319806,101.8267,2975.7976060606065,0.019649359008737655,4.801851088647169e-4,72.45
BE,2016-10-01,175422,125281.2,160417.13999999998,212922.33,306299.87,1344038.6,2324381.14,0.07547041101873679,0.34629455821518146,0.5782350307660817,-0.010204279808172512,0.011015215793745758,-0.005208361380033888,101.8682,3090.9747656249983,4.074721612985499e-4,0.037974393352312674,72.45
BE,2017-01-01,177879.40999999997,127948.10000000002,164319.44,217850.23000000004,311196.76999999996,1356205.94,2355399.8899999997,0.07551983455344391,0.34869431024725067,0.5757858551993055,6.546586673197297e-4,0.006905899297853013,-0.004244601243738821,101.1554,3342.4348307692308,-0.007021872617915648,0.07821303335756014,72.45
BE,2017-04-01,173653.43,126652.05000000002,163639.85000000003,217252.45,311388.91000000003,1341513.57,2334100.2600000002,0.07439844507793336,0.3508560767651,0.5747454781569665,-0.014960288939561028,0.00618046516525439,-0.001808516284159234,100.9276,3551.5675714285717,-0.0022545201376624746,0.060689542788912476,72.45
BE,2017-07-01,178188.04,128137.98,166722.07,221111.52,315560.23,1355806.52,2365526.36,0.07532701516798994,0.35152083445817106,0.573152150373839,0.012403795504970283,0.0018928808192135715,-0.002776081711105549,103.9629,3479.880061538461,0.029630676617171225,-0.020391247323445327,72.45
BE,2017-10-01,180014.96999999997,127634.79,165934.04,220837.3,317315.62,1358191.51,2369928.23,0.07595798375717056,0.3509480749128002,0.5730939413300292,0.008341504475157802,-0.0016307046892853894,-1.015646540147852e-4,102.9155,3594.989507936509,-0.01012584155114915,0.032543244535881755,72.45
BE,2018-01-01,183075.41999999995,128966.72,166745.6,221953.45999999996,318827.02,1345710.65,2365278.87,0.07740119878549456,0.3536550427983995,0.5689437584161059,0.01882192654979109,0.007683704870645736,-0.007268063364620381,102.5085,3473.9999841269832,-0.003962541207943815,-0.03423440940335176,72.45
BE,2018-04-01,182505.14000000004,130558.84,168123.59000000003,222889.99,321840.51,1344258.88,2370176.95,0.07700063912949623,0.3558438664252473,0.5671554944452564,-0.005188546458120946,0.006170074519912916,-0.003148079612258825,102.9604,3481.3044375,0.004398726314717827,0.002100398664278913,72.45
BE,2018-07-01,188255.57999999996,131375.90999999997,170157.01,226378.28,325407.82999999996,1342986.33,2384560.94,0.07894769089021476,0.35785163452354457,0.5632006745862407,0.024971770322602005,0.005626414604570584,-0.006997504157871259,104.3403,3422.939846153847,0.013313224521545486,-0.016907275949085587,72.45
BE,2018-10-01,187042.22,131719.44,169396.27,225371.01,324789.81999999995,1321362.25,2359681.01,0.07926589196054089,0.3607591604087198,0.5599749476307393,0.004022429599684685,0.008092118213747446,-0.005743956262166505,103.0205,3169.1323281250006,-0.012729675253574158,-0.0770419490674481,72.45
BE,2019-01-01,189863.84,133111.43,171296.78999999998,227648.08,329620.91000000003,1360100.73,2411641.7800000003,0.07872804393030543,0.357299005659124,0.5639729504105705,-0.006808490527027811,-0.00963760791442736,0.007114243728169045,103.7313,3212.726603174604,0.0068759043494166505,0.013662148789268969,72.45
BE,2019-04-01,192786.79,134440.22999999998,172823.02000000002,229729.96,334079.09,1366560.58,2430419.67,0.07932242829486318,0.358404069367987,0.5622735023371499,0.007521485489410118,0.003088053204144625,-0.003017899606458929,104.142,3415.2197460317457,0.003951450565201853,0.06112185256637481,72.45
BE,2019-07-01,197564.7,137271.09,175916.65999999997,233645.38,340262.07,1387181.42,2471841.3200000003,0.07992612567864996,0.3588803184178505,0.5611935559034994,0.007581861946800661,0.001327922726207964,-0.0019225250235185287,107.5508,3459.1172727272724,0.03220794162001894,0.01277159477765899,72.45
BE,2019-10-01,197859.99,136772.10000000003,176942.52000000002,234682.55,342184.61000000004,1386810.89,2475252.66,0.07993527012309118,0.35979429267636864,0.56027043720054,1.1440466168011199e-4,0.0025435008754934874,-0.001646274721477603,106.8041,3649.074359375,-0.006966978784473277,0.05346010223033382,72.45
