REF_AREA,TIME_PERIOD,GDP_PC
FI,2011-07-01,100.481
FI,2011-10-01,106.183
FI,2012-01-01,97.941
FI,2012-04-01,100.595
FI,2012-07-01,97.99
FI,2012-10-01,103.037
FI,2013-01-01,94.341
FI,2013-04-01,99.665
FI,2013-07-01,97.684
FI,2013-10-01,102.134
FI,2014-01-01,93.502
FI,2014-04-01,98.425
FI,2014-07-01,96.798
FI,2014-10-01,101.532
FI,2015-01-01,92.755
FI,2015-04-01,98.898
FI,2015-07-01,96.701
FI,2015-10-01,102.437
FI,2016-01-01,95.083
FI,2016-04-01,100.908
FI,2016-07-01,99.172
FI,2016-10-01,104.599
FI,2017-01-01,98.015
FI,2017-04-01,103.964
FI,2017-07-01,102.045
FI,2017-10-01,107.979
FI,2018-01-01,100.326
FI,2018-04-01,105.393
FI,2018-07-01,102.58
FI,2018-10-01,108.021
FI,2019-01-01,100.8
FI,2019-04-01,106.461
FI,2019-07-01,104.601
FI,2019-10-01,109.662
FI,2020-01-01,100.603
FI,2020-04-01,98.712
FI,2020-07-01,101.794
FI,2020-10-01,109.238
FI,2021-01-01,98.066
FI,2021-04-01,105.729
FI,2021-07-01,104.643
FI,2021-10-01,112.059
FI,2022-01-01,100.841
FI,2022-04-01,107.243
FI,2022-07-01,104.615
FI,2022-10-01,109.84
FI,2023-01-01,101.25
FI,2023-04-01,106.262
FI,2023-07-01,101.858
FI,2023-10-01,107.625
FI,2024-01-01,98.691
FI,2024-04-01,104.508
FI,2024-07-01,102.397
FI,2024-10-01,107.892
FR,2000-01-01,92.44
FR,2000-04-01,93.196
FR,2000-07-01,91.054
FR,2000-10-01,96.653
FR,2001-01-01,94.506
FR,2001-04-01,94.232
FR,2001-07-01,92.014
FR,2001-10-01,96.96
FR,2002-01-01,94.169
FR,2002-04-01,94.63
FR,2002-07-01,92.904
FR,2002-10-01,97.317
FR,2003-01-01,94.744
FR,2003-04-01,94.213
FR,2003-07-01,93.009
FR,2003-10-01,98.078
FR,2004-01-01,96.38
FR,2004-04-01,96.944
FR,2004-07-01,94.894
FR,2004-10-01,99.918
FR,2005-01-01,97.131
FR,2005-04-01,98.53
FR,2005-07-01,96.062
FR,2005-10-01,100.838
FR,2006-01-01,99.287
FR,2006-04-01,100.292
FR,2006-07-01,97.87
FR,2006-10-01,103.036
FR,2007-01-01,101.233
FR,2007-04-01,101.998
FR,2007-07-01,100.052
FR,2007-10-01,104.878
FR,2008-01-01,102.01
FR,2008-04-01,102.605
FR,2008-07-01,99.839
FR,2008-10-01,103.055
FR,2009-01-01,97.352
FR,2009-04-01,98.193
FR,2009-07-01,96.793
FR,2009-10-01,101.69
FR,2010-01-01,98.263
FR,2010-04-01,99.897
FR,2010-07-01,98.561
FR,2010-10-01,103.278
FR,2011-01-01,101.165
FR,2011-04-01,102.059
FR,2011-07-01,100.124
FR,2011-10-01,104.476
FR,2012-01-01,101.745
FR,2012-04-01,101.225
FR,2012-07-01,99.668
FR,2012-10-01,104.02
FR,2013-01-01,99.869
FR,2013-04-01,101.97
FR,2013-07-01,100.62
FR,2013-10-01,105.357
FR,2014-01-01,100.973
FR,2014-04-01,102.168
FR,2014-07-01,101.051
FR,2014-10-01,105.598
FR,2015-01-01,101.777
FR,2015-04-01,102.818
FR,2015-07-01,101.321
FR,2015-10-01,106.414
FR,2016-01-01,102.463
FR,2016-04-01,104.103
FR,2016-07-01,101.114
FR,2016-10-01,106.64
FR,2017-01-01,103.87
FR,2017-04-01,104.895
FR,2017-07-01,103.23
FR,2017-10-01,109.264
FR,2018-01-01,105.359
FR,2018-04-01,105.805
FR,2018-07-01,104.283
FR,2018-10-01,110.806
FR,2019-01-01,106.99
FR,2019-04-01,108.201
FR,2019-07-01,106.789
FR,2019-10-01,111.229
FR,2020-01-01,101.27
